Kelly Freitas;3 de setembro de 2019;Nao facam conta nesse banco, fiz um deposito a mais de 5 dias e nao entrou nada na conta, perdi meu dinheiro e ninguem respondeu quando entrei em contato!;
Gleidson Felipe;19 de agosto de 2019;E um cartão muito bom;
corrinho corrinha;4 de outubro de 2019;Ainda vou usa pra ver se fuciona certinho se eu aprova vou da 5 estrelinha;
Rafael Brito;17 de outubro de 2019;Excelentes em todos sentidos.!;
david loureiro;22 de outubro de 2019;muito bom cartão recomendo muito;
Iury Felix;2 de janeiro de 2019;estou tentando criar minha conta mas o app tira foto dos meus documentos e não salva elas ai fica infinitas vezes tirando foto, por favor me ajudem quero muito ter uma conta;
GIL MARIO;4 de julho de 2019;gostei muito da neon, simplifique a vida também..;
Cleiton Souza;12 de abril de 2019;excelente aplicativo, rapido e simples;
Simone Castro;18 de setembro de 2019;Excelente! Estou surpresa!;
Emerson- O ESTIVADOR;28 de novembro de 2018;Bom e desburocratizado. App intuitivo e de fácil navegação!;
Jocelia Silva;9 de julho de 2019;acho um absurdo eles oferecem um cartao de credito e quando chega e debito! povo sem noçao,se eu tenho dinheiro pra que vou depositar em cartao ? vou e compro a vista! credito e pra ser usado na falta do dinheiro;
Andre Balby;27 de agosto de 2019;Não consigo mais entrar no app. O app fica abrindo e fechando sozinho. Antes estava funcionando, mas depois aue fiz o deposito parou de funcionar 😑;
Erick Carvalho;11 de junho de 2019;minha experiência esta incrível com a neon , versátil fácil e tudo digital 👏🏼👏🏼👏🏼👏🏼;
Michel Bento;5 de junho de 2019;Muito bom até agora;
Benezinho_ Mga;5 de setembro de 2019;Fiz tudo o que o App me pediu e agora está dando erro do servidor, espero não ter futuros problemas, tentei fazer o cartão no nome do meu irmão e depois de tudo feito só dá erro do servidor, arrumem isso!;
Um usuário do Google;16 de outubro de 2018;Baixei o aplicativo várias vezes até com convite é só da erro não gostei;
Um usuário do Google;1 de outubro de 2018;Estou analisando ainda, breve eu darei minha crítica mais até o momento estou gostando;
Ivann Mendes;30 de julho de 2019;melhor banco que se pode imaginar👏🏻😍♥️;
Renato Vieira;2 de junho de 2019;muitas etapas de verificação, e a senha facial ( que acho desnecessário ) nao abre a câmera direito, fica tudo preto e dá erro !! Horrível;
Danilo Andrade;12 de julho de 2019;ola. Eu pedi o meu cartão a ja vao fazer dois meses e nada de chegar o cartão e nem de falarem nada. Como.posso resolver isso?;
diogo garcia;8 de outubro de 2019;Esta sendo otimo;
Adrian Miguel;11 de outubro de 2019;Tentativa de saque no banco 24 horas, dinheiro não saiu e foi debitado valor da conta. Liguei para o banco 24 horas, através do protocolo 15014469 o saque foi cancelado. Neon está querendo levar 10 dias pra devolver o valor, fatura do cartão de crédito está atrasada um dia por causa deles.;
Aline Costa;21 de setembro de 2019;Atendendo todas as minhas expectativas ❤🤩;
