Campo Jo;21 de agosto de 2022;Não funcional ,deviam excluir no play story
Renato Rodrigues;20 de abril de 2022;Aplicativo péssimo não funciona 02 meses tentando e nada toda hora pede pra atualizar o cadastro Não sei o mais precisa atualizar. Nota zero pra esse aplicativo .
Danielle Justino;19 de fevereiro de 2021;Péssimo aplicativo, todos os meus dados estão atualizados e para o primeiro acesso continua aparecendo a mensagem que preciso ligar na central para atualizar dados.
Matheus Borges;16 de maio de 2020;O aplicativo apenas da a opção de visualizar o valor da fatura. Não consigo efetuar o pagamento da fatura, ou visualizar código de barras.
Alisson Pedroso;22 de setembro de 2022;Não tem como utilizar digital.
Geila santos;26 de janeiro de 2022;Precisam adicionar a opção de 2° via de fatura. Esse app não tem nada do que precisamos. É inútil...
mariane castro;26 de setembro de 2021;Horrível simplesmente parou de funcionar, dá erro na hora de salvar a senha... impossível usar!
Melry Santos;9 de agosto de 2022;Péssimo assim como os fusionario do banco o pior de todos os banco. Sinceramente não dá pra usa esse lixo e muito menos o cartão
Paulo Bambam;11 de agosto de 2022;App horrível não abre caraca melhorem esse app não abre
Valdeir;7 de maio de 2020;Aplicativo muito limitado deveria ter funções como outros aplicativos da concorrência é complicado o acesso,trava muito estou muito insatisfeito.
Francisco Marques;9 de maio de 2021;Aplicativo horrível, 03 dias tentando fazer meu primeiro acesso e só dá erro... Lamentável um banco como o Bradesco com uma App tão ultrapassado.
Licya Sousa;3 de junho de 2020;Péssimo...Para fazer o primeiro acesso não da certo o longin de forma alguma. Diz q os dados estão incorretos sendo q não estão.
Icaro Avante;3 de setembro de 2021;Estou há horas tentando colocar os códigos de verificação. Cada vez uma etapa dá erro. Desisto desse app
Valdeline Rodrigues;17 de agosto de 2022;Não consigo ter meu primeiro acesso. Pois coloco meu CPF correto e diz: erro tente novamente
Andréia Uchoa;13 de agosto de 2021;Se tivesse como não dar nenhuma estrela, mas, sou obrigada a ter que dar umazinha, infelizmente, pq nem isso merece. Aplicativo nem horrível é, é abaixo disso , nem conseguir acesso, eu consigo . Nota: DÓ !
Simone Ribeiro;7 de dezembro de 2020;Os meu dados já estão atualizados na central e o aplicativo não entra mandando ligar na central para atualizar os dados, mas os dados já estão atualizados.
Leidiane Dias;30 de junho de 2021;Não consigo cadastrar nada por aqui pede para atualizar os dados na central ,liguei atualizei junto com uma atendente e continua dando erro ...para que serve esse app se não nos ajuda em mada ?
felipe lopes;3 de agosto de 2021;Realmente o problema é geral mesmo, impossível cadastrar, não tem informações na central de atendimento... Rouba muito tempo e paciência de quem precisa trabalhar...
monica pugliese;16 de maio de 2022;Péssimo, só vê o extrato do cartão, não mostra a fatura com código de barras para pagamento.
