Um usuário do Google;23 de fevereiro de 2019;muito bom ...esse aplicativo cartão luiza...;
miriane oliveira;19 de agosto de 2019;ótimo cartão compro tudo que preciso com esse cartão recomemdo muito.;
Eiso Games;2 de setembro de 2019;ajuda muito, até agora melhor cartão para se utilizar no dia a dia, resolve tudo...;
Vilmar Ferreira da silva Silva;16 de outubro de 2019;Muito muito bem explicado como anda seu pedido as entregas certinho, só uma observação só falta ligar no dia da entrega para ver se tem alguém no estabelecimento para receber a mercadoria;
Flavioo Santoos;4 de julho de 2019;estou tentando fazer a fatura digital e nao consigo,porque.;
Taynara Sousa;2 de outubro de 2019;Não consigo fazer o cartão virtual,🙄;
Carine Costa;30 de agosto de 2019;Otima;
maria izabel oliveira;20 de fevereiro de 2019;Olá o aplicativo é bom, mais sempre quando quero contratar o SMS pra chegar mensagens no meu celular dá sempre erro nunca consigo;
Kelly Ane;4 de maio de 2019;Ótimo App cumpre o que promete, posso ver meus lançamentos atuais e futuros assim podendo ver o quanto já gastei e ter controle do quanto posso gastar, faz uma semana que instalei e estou adorando.;
Robson Vieira;9 de maio de 2019;app bem detalhado gostei e recomendo;
Elismaria nery Pereira rodrigues;11 de julho de 2019;não gosto acho que não deveria ter anuidade;
Júnior Miranda;10 de julho de 2019;foi aprovado um cartao gold no mes de junho ate o moneto nada de senha nem de entrega do cartao, mas o app consta o cartão, ligeui pra o banco ele disse q teria q ir na magazine, chego la manda aguardar chegar, ate o banco atualizar fazendo 30 dias ete o momento nada, compro muito gosto do site;
Maria Luiza Vieira;26 de maio de 2019;demora de abrir;
Andreia Alves da silva;27 de agosto de 2019;E otimo;
Maria Do Carmo;11 de junho de 2019;viajei...gostaria de ter tudo !!!;
Bruno Goulart;26 de setembro de 2019;Gostei do aplicativo, tem as informações bem declaradas e detalhadas tudo certinho com as datas e valores.;
Um usuário do Google;13 de fevereiro de 2019;mariav8 esqueci voces podem me envia a minha senha completa para que eu possa gravar;
Andressa Vieira;1 de outubro de 2019;Não consigo desbloquear o meu cartão o app da erro toda hora.;
Claudia Jesus;26 de fevereiro de 2019;está muito ruim;
cristian sony;26 de setembro de 2019;ótimo;
Crislane Neves;22 de maio de 2019;o app é bom, mas eu nao consigo cancelar o envio do sms pelo app. :/;
Raimunda Pessoa;9 de junho de 2019;prático e rápido.;
Hugo Enrique;18 de fevereiro de 2019;falta muita coisa começando pela falta de especificações dos serviços oferecido no cartao e a falta de um chat pra tirar algumas duvidas pois to pagando um servido de um cartao q nao tenho terei q ir ao PROCON;
Dauana Micoly;28 de agosto de 2019;Bastante facilidade No acesso;
Thalita Freitas;18 de setembro de 2019;Horrível, valor da fatura errada e não tem o boleto bancário, o aplicativo Itaucard era ótimo.;
Clayton Johnson;2 de julho de 2019;muito útil este Ap, através deli consigo, acompanha minhas compras e pagar meus boletos, super recomendo;
Regiellen Calazans;4 de outubro de 2019;orrivel . nao faz simulaçao de aumento no propio app igual os outros banco e ele nao aumenta o limite por nada . estou cancelando pq 600$ qualquer cartao da!;
Adriana de Araujo;11 de agosto de 2019;rapido pratico bem detalhado;
Josiane Freire;20 de julho de 2019;depois que coloquei todos os meus dados travou. enganação;
Renan Rocha;25 de abril de 2019;Sempre que vou cadastrar meu e-mail para receber a fatura digital da erro 😡😡😡;
Josiane Fernanda;31 de janeiro de 2019;so de saber os meus gastos ja e bom;
